id,name,province,latitude,longitude
WS-Ninh_Binh-00003,WS Ninh_Binh 00003,Ninh Bình,20.2619,105.7204
WS-Ninh_Binh-00004,WS Ninh_Binh 00004,Ninh Bình,20.4524,106.1681
WS-Ninh_Binh-00005,WS Ninh_Binh 00005,Ninh Bình,20.5255,105.9234
WS-Ninh_Binh-00006,WS Ninh_Binh 00006,Ninh Bình,20.3267,105.7461
WS-Quang_Tri-00001,WS Quang_Tri 00001,Quảng Trị,16.8028,107.0919
WS-Quang_Tri-00002,WS Quang_Tri 00002,Quảng Trị,17.1648,107.3437
WS-Quang_Tri-00003,WS Quang_Tri 00003,Quảng Trị,17.4892,106.5994
WS-Quang_Tri-00004,WS Quang_Tri 00004,Quảng Trị,16.8557,107.0791
WS-Quang_Tri-00005,WS Quang_Tri 00005,Quảng Trị,17.7584,106.4319
WS-Quang_Tri-00006,WS Quang_Tri 00006,Quảng Trị,17.8849,106.0151
WS-Da_Nang-00001,WS Da_Nang 00001,Đà Nẵng,16.0428,108.2061
WS-Da_Nang-00002,WS Da_Nang 00002,Đà Nẵng,15.3371,108.2222
WS-Da_Nang-00003,WS Da_Nang 00003,Đà Nẵng,15.5536,108.4974
WS-Da_Nang-00004,WS Da_Nang 00004,Đà Nẵng,15.5666,108.4623
WS-Quang_Ngai-00001,WS Quang_Ngai 00001,Quảng Ngãi,15.1202,108.7918
WS-Quang_Ngai-00002,WS Quang_Ngai 00002,Quảng Ngãi,14.3602,107.9995
WS-Quang_Ngai-00003,WS Quang_Ngai 00003,Quảng Ngãi,14.6471,107.8458
WS-Quang_Ngai-00004,WS Quang_Ngai 00004,Quảng Ngãi,15.3866,109.1413
WS-Quang_Ngai-00005,WS Quang_Ngai 00005,Quảng Ngãi,14.7678,108.7358
WS-Gia_Lai-00001,WS Gia_Lai 00001,Gia Lai,14.0351,107.9852
WS-Gia_Lai-00002,WS Gia_Lai 00002,Gia Lai,14.2188,107.8388
WS-Gia_Lai-00003,WS Gia_Lai 00003,Gia Lai,13.7651,109.2262
WS-Gia_Lai-00004,WS Gia_Lai 00004,Gia Lai,13.9507,108.6462
WS-Khanh_Hoa-00001,WS Khanh_Hoa 00001,Khánh Hòa,12.2501,109.1948
WS-Khanh_Hoa-00002,WS Khanh_Hoa 00002,Khánh Hòa,11.9183,109.1509
WS-Khanh_Hoa-00003,WS Khanh_Hoa 00003,Khánh Hòa,11.4266,109.0009
WS-Khanh_Hoa-00004,WS Khanh_Hoa 00004,Khánh Hòa,11.5808,108.9743
WS-Khanh_Hoa-00005,WS Khanh_Hoa 00005,Khánh Hòa,12.2192,109.2051
WS-Lam_Dong-00001,WS Lam_Dong 00001,Lâm Đồng,11.9527,108.4455
WS-Lam_Dong-00002,WS Lam_Dong 00002,Lâm Đồng,11.8854,108.5675
WS-Lam_Dong-00003,WS Lam_Dong 00003,Lâm Đồng,12.0001,107.6977
WS-Lam_Dong-00004,WS Lam_Dong 00004,Lâm Đồng,10.9191,108.1076
WS-Lam_Dong-00005,WS Lam_Dong 00005,Lâm Đồng,10.9259,108.1030
WS-Lam_Dong-00006,WS Lam_Dong 00006,Lâm Đồng,11.5501,107.8066
WS-Lam_Dong-00007,WS Lam_Dong 00007,Lâm Đồng,10.6817,107.7544
WS-Dak_Lak-00001,WS Dak_Lak 00001,Đắk Lắk,12.6670,108.0497
WS-Dak_Lak-00002,WS Dak_Lak 00002,Đắk Lắk,13.2156,108.2021
WS-Dak_Lak-00003,WS Dak_Lak 00003,Đắk Lắk,12.7166,108.7601
WS-Dak_Lak-00004,WS Dak_Lak 00004,Đắk Lắk,12.6729,108.1033
WS-Dak_Lak-00005,WS Dak_Lak 00005,Đắk Lắk,12.9134,108.2627
WS-Dak_Lak-00006,WS Dak_Lak 00006,Đắk Lắk,13.0863,109.2970
WS-TPHCM-00001,WS TPHCM 00001,TPHCM,10.7844,106.7003
WS-TPHCM-00002,WS TPHCM 00002,TPHCM,11.0414,106.6351
WS-TPHCM-00003,WS TPHCM 00003,TPHCM,10.3681,107.0841
WS-TPHCM-00004,WS TPHCM 00004,TPHCM,10.7956,106.6667
WS-Dong_Nai-00001,WS Dong_Nai 00001,Đồng Nai,10.9585,106.8586
WS-Dong_Nai-00002,WS Dong_Nai 00002,Đồng Nai,10.9408,107.2406
WS-Dong_Nai-00003,WS Dong_Nai 00003,Đồng Nai,11.3737,107.3688
WS-Dong_Nai-00004,WS Dong_Nai 00004,Đồng Nai,11.0989,107.0454
WS-Dong_Nai-00005,WS Dong_Nai 00005,Đồng Nai,11.8515,106.9949
WS-Tay_Ninh-00001,WS Tay_Ninh 00001,Tây Ninh,11.3306,106.1056
WS-Tay_Ninh-00002,WS Tay_Ninh 00002,Tây Ninh,10.7535,105.9335
WS-Tay_Ninh-00003,WS Tay_Ninh 00003,Tây Ninh,10.5424,106.4037
WS-Can_Tho-00001,WS Can_Tho 00001,Cần Thơ,10.0303,105.7681
WS-Can_Tho-00002,WS Can_Tho 00002,Cần Thơ,9.8176,105.4579
WS-Vinh_Long-00001,WS Vinh_Long 00001,Vĩnh Long,10.2744,105.9263
WS-Vinh_Long-00002,WS Vinh_Long 00002,Vĩnh Long,10.2417,106.3651
WS-Vinh_Long-00003,WS Vinh_Long 00003,Vĩnh Long,9.9928,106.2031
WS-Vinh_Long-00004,WS Vinh_Long 00004,Vĩnh Long,9.9397,106.3407
WS-Dong_Thap-00001,WS Dong_Thap 00001,Đồng Tháp,10.4708,105.6478
WS-Dong_Thap-00002,WS Dong_Thap 00002,Đồng Tháp,10.4171,105.6444
WS-Dong_Thap-00003,WS Dong_Thap 00003,Đồng Tháp,10.3531,106.3976
WS-Dong_Thap-00004,WS Dong_Thap 00004,Đồng Tháp,10.8589,105.3404
WS-Ca_Mau-00001,WS Ca_Mau 00001,Cà Mau,9.1747,105.1782
WS-Ca_Mau-00002,WS Ca_Mau 00002,Cà Mau,9.2960,105.7138
WS-An_Giang-00001,WS An_Giang 00001,An Giang,9.3016,103.4998
WS-An_Giang-00002,WS An_Giang 00002,An Giang,10.7041,105.1305
WS-An_Giang-00003,WS An_Giang 00003,An Giang,10.3856,105.4363
WS-An_Giang-00004,WS An_Giang 00004,An Giang,10.0118,105.0772
WS-An_Giang-00005,WS An_Giang 00005,An Giang,10.2167,103.9571
WS-Ha_Noi-00001,WS Ha_Noi 00001,Hà Nội,21.1027,105.4298
WS-Ha_Noi-00002,WS Ha_Noi 00002,Hà Nội,21.0484,105.4927
WS-Ha_Noi-00003,WS Ha_Noi 00003,Hà Nội,20.9569,105.7531
WS-Hue-00001,WS Hue 00001,Huế,16.4541,107.5853
WS-Hue-00002,WS Hue 00002,Huế,16.2327,107.2696
WS-Lai_Chau-00001,WS Lai_Chau 00001,Lai Châu,22.3867,102.8025
WS-Lai_Chau-00002,WS Lai_Chau 00002,Lai Châu,22.3989,103.4623
WS-Lai_Chau-00003,WS Lai_Chau 00003,Lai Châu,22.3590,103.2495
WS-Lai_Chau-00004,WS Lai_Chau 00004,Lai Châu,22.3863,103.4682
WS-Lai_Chau-00005,WS Lai_Chau 00005,Lai Châu,22.3209,103.6289
WS-Lai_Chau-00006,WS Lai_Chau 00006,Lai Châu,21.9500,103.9000
WS-Son_La-00001,WS Son_La 00001,Sơn La,21.3330,103.9062
WS-Son_La-00002,WS Son_La 00002,Sơn La,21.0471,104.2985
WS-Son_La-00003,WS Son_La 00003,Sơn La,21.0508,103.7444
WS-Son_La-00004,WS Son_La 00004,Sơn La,21.1332,104.1556
WS-Son_La-00005,WS Son_La 00005,Sơn La,21.2625,104.6478
WS-Dien_Bien-00001,WS Dien_Bien 00001,Điện Biên,21.3572,103.0091
WS-Dien_Bien-00002,WS Dien_Bien 00002,Điện Biên,21.5712,103.5170
WS-Cao_Bang-00001,WS Cao_Bang 00001,Cao Bằng,22.6641,106.2506
WS-Cao_Bang-00002,WS Cao_Bang 00002,Cao Bằng,22.6521,106.2709
WS-Lang_Son-00001,WS Lang_Son 00001,Lạng Sơn,21.8303,106.7686
WS-Lang_Son-00002,WS Lang_Son 00002,Lạng Sơn,21.5118,106.3539
WS-Lang_Son-00003,WS Lang_Son 00003,Lạng Sơn,21.9169,106.3366
WS-Quang_Ninh-00001,WS Quang_Ninh 00001,Quảng Ninh,21.3274,107.4154
WS-Quang_Ninh-00002,WS Quang_Ninh 00002,Quảng Ninh,21.0327,107.3599
WS-Quang_Ninh-00003,WS Quang_Ninh 00003,Quảng Ninh,21.4561,107.7530
WS-Quang_Ninh-00004,WS Quang_Ninh 00004,Quảng Ninh,21.5185,107.9819
WS-Quang_Ninh-00005,WS Quang_Ninh 00005,Quảng Ninh,20.9617,107.0601
WS-Quang_Ninh-00006,WS Quang_Ninh 00006,Quảng Ninh,20.9759,107.7721
WS-Thanh_Hoa-00001,WS Thanh_Hoa 00001,Thanh Hóa,19.7619,105.7774
WS-Thanh_Hoa-00002,WS Thanh_Hoa 00002,Thanh Hóa,19.7410,105.9040
WS-Nghe_An-00001,WS Nghe_An 00001,Nghệ An,18.6760,105.6905
WS-Nghe_An-00002,WS Nghe_An 00002,Nghệ An,18.6969,105.4962
WS-Nghe_An-00003,WS Nghe_An 00003,Nghệ An,19.0507,104.8844
WS-Nghe_An-00004,WS Nghe_An 00004,Nghệ An,19.3245,105.4139
WS-Nghe_An-00005,WS Nghe_An 00005,Nghệ An,19.2635,104.4712
WS-Nghe_An-00006,WS Nghe_An 00006,Nghệ An,18.8984,105.3067
WS-Nghe_An-00007,WS Nghe_An 00007,Nghệ An,19.1410,105.6420
WS-Nghe_An-00008,WS Nghe_An 00008,Nghệ An,19.5542,105.0938
WS-Nghe_An-00009,WS Nghe_An 00009,Nghệ An,19.3228,105.1884
WS-Ha_Tinh-00001,WS Ha_Tinh 00001,Hà Tĩnh,17.9877,106.4780
WS-Ha_Tinh-00002,WS Ha_Tinh 00002,Hà Tĩnh,18.1698,105.7089
WS-Ha_Tinh-00003,WS Ha_Tinh 00003,Hà Tĩnh,18.1783,105.7015
WS-Ha_Tinh-00004,WS Ha_Tinh 00004,Hà Tĩnh,18.0867,106.2854
